Код услуги ;Наименование заголовка/услуги;  Цена услуги  Н.Новгород 
800000.1;Забор крови на лабораторное исследование при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 1 до 50 человек);5
800000.2;Забор крови на лабораторное исследование при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 51 до 100 человек);5
800000.3;Забор крови на лабораторное исследование при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 101 до 300 человек);5
800000.4;Забор крови на лабораторное исследование при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 301 до 500 человек);5
800000.5;Забор крови на лабораторное исследование при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива свыше 500 человек);5
800001.1;Забор материала на цитологическое исследование при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 1 до 50 человек);5
800001.2;Забор материала на цитологическое исследование при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 51 до 100 человек);5
800001.3;Забор материала на цитологическое исследование при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 101 до 300 человек);5
800001.4;Забор материала на цитологическое исследование при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 301 до 500 человек);5
800001.5;Забор материала на цитологическое исследование при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива свыше 500 человек);5
800002.1;Забор материала на бактериологическое исследование (одна зона) при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 1 до 50 человек);5
800002.2;Забор материала на бактериологическое исследование (одна зона) при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 51 до 100 человек);5
800002.3;Забор материала на бактериологическое исследование (одна зона) при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 101 до 300 человек);5
800002.4;Забор материала на бактериологическое исследование (одна зона) при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 301 до 500 человек);5
800002.5;Забор материала на бактериологическое исследование (одна зона) при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива свыше 500 человек);5
800003.1;Забор материала на флору при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 1 до 50 человек);5
800003.2;Забор материала на флору при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 51 до 100 человек);5
800003.3;Забор материала на флору при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 101 до 300 человек);5
800003.4;Забор материала на флору при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 301 до 500 человек);5
800003.5;Забор материала на флору при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива свыше 500 человек);5
800004.1;Забор материала на энтеробиоз при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 1 до 50 человек);5
800004.2;Забор материала на энтеробиоз при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 51 до 100 человек);5
800004.3;Забор материала на энтеробиоз при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 101 до 300 человек);5
800004.4;Забор материала на энтеробиоз при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 301 до 500 человек);5
800004.5;Забор материала на энтеробиоз при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива свыше 500 человек);5
801000.1;Врачебная комиссия при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 1 до 50 человек);90
801000.2;Врачебная комиссия при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 51 до 100 человек);80
801000.3;Врачебная комиссия при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 101 до 300 человек);70
801000.4;Врачебная комиссия при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 301 до 500 человек);60
801000.5;Врачебная комиссия при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива свыше 500 человек);50
801001.1;Оформление медицинского заключения по результатам обязательного предварительного/периодического медицинского осмотра (обследования), без учета стоимости обследования (для коллектива от 1 до 50 человек);90
801001.2;Оформление медицинского заключения по результатам обязательного предварительного/периодического медицинского осмотра (обследования), без учета стоимости обследования (для коллектива от 51 до 100 человек);80
801001.3;Оформление медицинского заключения по результатам обязательного предварительного/периодического медицинского осмотра (обследования), без учета стоимости обследования (для коллектива от 101 до 300 человек);70
801001.4;Оформление медицинского заключения по результатам обязательного предварительного/периодического медицинского осмотра (обследования), без учета стоимости обследования (для коллектива от 301 до 500 человек);60
801001.5;Оформление медицинского заключения по результатам обязательного предварительного/периодического медицинского осмотра (обследования), без учета стоимости обследования (для коллектива свыше 500 человек);50
801002.1;Оформление медицинского заключения по результатам обязательного предварительного/периодического медицинского осмотра (обследования) с записью в личной медицинской книжке работника, без учета стоимости обследования (для коллектива от 1 до 50 человек);90
801002.2;Оформление медицинского заключения по результатам обязательного предварительного/периодического медицинского осмотра (обследования) с записью в личной медицинской книжке работника, без учета стоимости обследования (для коллектива от 51 до 100 человек);80
801002.3;Оформление медицинского заключения по результатам обязательного предварительного/периодического медицинского осмотра (обследования) с записью в личной медицинской книжке работника, без учета стоимости обследования (для коллектива от 101 до 300 человек);70
801002.4;Оформление медицинского заключения по результатам обязательного предварительного/периодического медицинского осмотра (обследования) с записью в личной медицинской книжке работника, без учета стоимости обследования (для коллектива от 301 до 500 человек);60
801002.5;Оформление медицинского заключения по результатам обязательного предварительного/периодического медицинского осмотра (обследования) с записью в личной медицинской книжке работника, без учета стоимости обследования (для коллектива свыше 500 человек);50
801003.1;Оформление паспорта здоровья работающего гражданина по результатам обязательного предварительного/периодического медицинского осмотра (обследования), без учета стоимости обследования (для коллектива от 1 до 50 человек);90
801003.2;Оформление паспорта здоровья работающего гражданина по результатам обязательного предварительного/периодического медицинского осмотра (обследования), без учета стоимости обследования (для коллектива от 51 до 100 человек);80
801003.3;Оформление паспорта здоровья работающего гражданина по результатам обязательного предварительного/периодического медицинского осмотра (обследования), без учета стоимости обследования (для коллектива от 101 до 300 человек);70
801003.4;Оформление паспорта здоровья работающего гражданина по результатам обязательного предварительного/периодического медицинского осмотра (обследования), без учета стоимости обследования (для коллектива от 301 до 500 человек);60
801003.5;Оформление паспорта здоровья работающего гражданина по результатам обязательного предварительного/периодического медицинского осмотра (обследования), без учета стоимости обследования (для коллектива свыше 500 человек);50
801004.1;Оформление заключительного Акта о годности работников организации к выполнению работ во вредных и/или опасных условиях труда по результатам периодического медицинского осмотра (обследования), без учета стоимости обследования (для коллектива от 1 до 50 человек);90
801004.2;Оформление заключительного Акта о годности работников организации к выполнению работ во вредных и/или опасных условиях труда по результатам периодического медицинского осмотра (обследования), без учета стоимости обследования (для коллектива от 51 до 100 человек);80
